case,prefix_variant,prefix_tokens,variable_tokens,decode_tokens,split_prefill_s,restore_prefill_s,prefill_speedup,split_decode_s,restore_decode_s,output_identical
00,A,413,1293,107,11.82,8.7,1.35862068965517,3.51,3.47,1
01,A,413,567,96,7.65,3.91,1.95652173913043,3.77,3.11,1
02,A,413,302,117,5.92,2.94,2.01360544217687,5.07,4.98,1
03,A,413,354,101,5.64,2.95,1.91186440677966,3.37,3.24,1
04,A,413,1399,122,12.29,9.92,1.23891129032258,5.16,4.7,1
05,A,413,1037,101,9.58,6.29,1.52305246422893,3.39,2.91,1
06,A,413,791,105,8.82,5.17,1.70599613152805,4.11,2.89,1
07,A,413,686,62,6.75,4.63,1.45788336933045,1.65,1.53,1
08,B,384,227,124,4.56,2.8,1.62857142857143,2.83,3.39,1
09,A,413,216,69,4.92,2.21,2.2262443438914,1.71,2.07,1
10,A,413,231,86,5.79,2.33,2.48497854077253,2.88,2.4,1
11,A,413,1229,90,12.48,8.79,1.419795221843,3.33,3.27,1
12,A,413,780,92,8.29,5.87,1.41226575809199,2.77,3.29,1
13,A,413,881,93,9.33,5.18,1.8011583011583,3.09,2.72,1
14,B,384,215,121,3.66,2.32,1.57758620689655,3.08,4.62,1
15,A,413,634,53,6.68,4.82,1.38589211618257,1.77,1.79,1
16,A,413,2695,129,20.79,18.06,1.15116279069767,4.99,4.57,1
17,B,384,199,71,4.33,2.11,2.0521327014218,1.76,2.26,1
18,A,413,1406,86,12.91,9.05,1.42651933701657,3.95,2.76,1
19,B,384,219,103,4.41,2.52,1.75,3.4,3.62,1
